id;question;answers;points
1;vagrant aw;till self-confidence but;intensely
2;outlive and ball;scornful;sleeping motion outside
3;everlasting;huge;inquisitively safe rough
4;boo;idealistic quicker urgently;annually consequently
5;aside whenever flawed;brew;boo as perspective
6;excursion after disarm;powerfully upstairs yum;beyond gamble
7;so yippee uniform;erupt geez sole;answer modulo swaddle
8;about;moist;deflect provided since
9;hmph kindly;wrongly;yuck fleece pronoun
10;lag yearly flamboyant;which gee;sympathetically
